issuerCode,issuerCountry,issuerCountryCode,serviceCode,serviceName,adnlServiceCode,adnlServiceName,allowedConsigneeCountry,allowedConsignorCountry,mandatory
Z12,SWEDEN,SE,20,Return Pickup,E6,Pickup Confirmation,NO,ALL,FALSE
Z12,SWEDEN,SE,20,Return Pickup,90,Varuförsäkring,SE,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,BE,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,10,Ad-hoc pickup,PT,ALL,FALSE
Z11,DENMARK,DK,24,Return DropOff,C2,QR Kode,ALL,DK,FALSE
Z11,DENMARK,DK,30,Mypack Home Small,A3,SMS notification,NO,ALL,TRUE
Z11,DENMARK,DK,17,Mypack Home,A6,FlexDelivery,NO,ALL,FALSE
Z12,SWEDEN,SE,17,PostNord MyPack Home,47,Alkoholdryck,SE,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A8,Limited Quantity of Dangerous Goods,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A8,Limited Quantity of Dangerous Goods,HR,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,IM,ALL,FALSE
Z12,SWEDEN,SE,17,PostNord MyPack Home,C7,FlexChange,ALL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,A8,Dangerous Goods LQ,NL,ALL,FALSE
Z13,NORWAY,NO,83,Groupage,Q1,Time agreed delivery,ALL,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,D5,Private Receiver,FR,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A4,Email notification,FI,SE,TRUE
Z11,DENMARK,DK,52,Pallet Pickup,10,Ad-hoc pickup,GR,ALL,TRUE
Z11,DENMARK,DK,18,PostNord Parcel,10,Ad-hoc pickup,RO,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,D1,Return to Sender,SE,ALL,FALSE
Z12,SWEDEN,SE,19,PostNord MyPack Collect,C2,Print Label,SE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,BE,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A7,Optional Service Point,CZ,ALL,TRUE
Z11,DENMARK,DK,52,Pallet Pickup,A8,Limited Quantity of Dangerous Goods,TR,ALL,FALSE
Z12,SWEDEN,SE,20,Return Pickup,A8,Begränsad mängd farligt gods,SE,ALL,FALSE
Z12,SWEDEN,SE,42,Expresspaket,A5,Varuförsäkring,ALL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,D7,Before 12,FI,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A3,SMS notification,FI,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,NL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,LT,ALL,FALSE
Z14,FINLAND,FI,83,PostNord Groupage,A8,Dangerous Goods LQ,AX,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A8,Limited Quantity of Dangerous Goods,DK,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,3,Goods return,ALL,ALL,TRUE
Z12,SWEDEN,SE,RR,Rek,A1,Postförskott,SE,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,JE,ALL,FALSE
Z14,FINLAND,FI,83,PostNord Groupage,F7,Before 7,FI,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,A6,Delivery without POD,HU,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,LU,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,D5,Private Receiver,PT,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A3,SMS notification,SJ,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,D6,Delivery before 9 (MEDIO 2017),FO,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A3,SMS notification,MK,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,PT,ALL,FALSE
Z13,NORWAY,NO,19,MyPack Collect,D1,Returner til avsender,ALL,ALL,FALSE
Z12,SWEDEN,SE,57,PostNord Parcel Special,A8,Begränsad mängd farligt gods,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A3,SMS notification,CZ,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A3,SMS notification,SK,ALL,TRUE
Z12,SWEDEN,SE,57,PostNord Parcel Special,74,Avemballering,ALL,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,E1,Tyres,IT,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,GR,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A7,Optional Service Point,PL,ALL,TRUE
Z12,SWEDEN,SE,59,Retail Delivery,D9,Klimatkompensation,SE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,10,Ad-hoc pickup,EE,ALL,TRUE
Z11,DENMARK,DK,17,Mypack Home,E1,Tyres,GB,ALL,FALSE
Z12,SWEDEN,SE,30,MyPack Home Small,G4,Fast liggetid 7 dagar,SE,ALL,FALSE
Z12,SWEDEN,SE,59,Retail Delivery,A4,e-postavisering,ALL,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,A3,SMS-avisering,ALL,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,B8,Driver Notification - Phone,AT,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A5,Insurance Europe,GB,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A6,FlexDelivery,DK,NO,FALSE
Z11,DENMARK,DK,24,Return DropOff,A5,Insurance Europe,ALL,LI,FALSE
Z12,SWEDEN,SE,59,Retail Delivery,E5,Collect in Store ¿ Label Only,NO,ALL,FALSE
Z12,SWEDEN,SE,86,Varubrev 1:a Klass,A3,SMS-avisering,ALL,ALL,FALSE
Z11,DENMARK,DK,24,Return DropOff,A6,FlexDelivery,ALL,MC,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A8,Limited Quantity of Dangerous Goods,SE,ALL,FALSE
Z12,SWEDEN,SE,86,Varubrev 1:a Klass,16,Söndagsinlämning,ALL,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A6,FlexDelivery,ALL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,LV,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A3,SMS notification,SE,ALL,FALSE
Z14,FINLAND,FI,83,PostNord Groupage,B8,Driver Notification - Phone,FI,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,E1,Tyres,MC,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,A9,Notification by Phone,DK,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,D5,Private Receiver,SE,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,D6,Delivery before 9 (MEDIO 2017),NO,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,E4,Collect in store,ALL,ALL,FALSE
Z12,SWEDEN,SE,19,PostNord MyPack Collect,D9,Klimatkompensation,ALL,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A5,Insurance Europe,SI,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A6,FlexDelivery,FI,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A6,FlexDelivery,SE,SE,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,D1,Immidiate Return,DK,ALL,FALSE
Z12,SWEDEN,SE,42,Expresspaket,C1,Recipient freight,ALL,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A5,Insurance Europe,FI,DK,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,E4,Collect in store,SE,SE,FALSE
Z12,SWEDEN,SE,59,Retail Delivery,C6,Utlämningsavisering,ALL,ALL,FALSE
Z12,SWEDEN,SE,59,Retail Delivery,74,Avemballering,SE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A8,Limited Quantity of Dangerous Goods,FR,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,D5,Private Receiver,UA,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,SE,FI,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,C4,ID check,SE,ALL,FALSE
Z11,DENMARK,DK,24,Return DropOff,A5,Insurance Europe,ALL,SK,FALSE
Z12,SWEDEN,SE,19,PostNord MyPack Collect,C7,FlexChange,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A8,Limited Quantity of Dangerous Goods,IS,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C7,FlexChange,GB,ALL,FALSE
Z12,SWEDEN,SE,17,PostNord MyPack Home,A5,Varuförsäkring,ALL,ALL,FALSE
Z14,FINLAND,FI,48,InNight,A8,Dangerous Goods LQ,EE,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,E1,Tyres,IM,ALL,FALSE
Z12,SWEDEN,SE,19,PostNord MyPack Collect,H1,To parcellocker,SE,ALL,FALSE
Z12,SWEDEN,SE,17,PostNord MyPack Home,G3,Utökad liggetid 14 dagar,SE,SE,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A7,Optional service point,LT,ALL,TRUE
Z12,SWEDEN,SE,20,Return Pickup,A8,Begränsad mängd farligt gods,FI,ALL,FALSE
Z11,DENMARK,DK,24,Return DropOff,43,Julemærkefonden,ALL,DK,FALSE
Z11,DENMARK,DK,20,Return Pickup,A8,Limited Quantity of Dangerous Goods,NO,NO,FALSE
Z11,DENMARK,DK,24,Return DropOff,A6,FlexDelivery,ALL,LV,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,B9,ADR,ALL,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,D6,Delivery before 9 (MEDIO 2017),DK,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C7,FlexChange,HR,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,LT,ALL,FALSE
Z12,SWEDEN,SE,20,Return Pickup,D9,Klimatkompensation,NO,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,D2,Signature Assurance,FI,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,62,Insurance DK,DK,DK,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,B8,Driver Notification - Phone,BY,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A6,FlexDelivery,SE,DK,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A1,Cash on Delivery,SE,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,D5,Private Receiver,TR,ALL,FALSE
Z13,NORWAY,NO,18,Parcel,D1,Returner til avsender,ALL,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,E1,Tyres,SE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,HR,ALL,FALSE
Z12,SWEDEN,SE,VV,Värde,A2,eBrevsavisering,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,D2,Signature Assurance,SE,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A4,Email notification,DE,ALL,FALSE
Z14,FINLAND,FI,49,InNight Reverse,C1,Recipient Freight,ALL,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,D9,Klimatkompensation,DK,ALL,FALSE
Z12,SWEDEN,SE,59,Retail Delivery,E4,Collect in store,NO,ALL,FALSE
Z14,FINLAND,FI,48,InNight,B9,Dangerous Goods,EE,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,B8,Driver notification,ALL,DK,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A3,SMS notification,PL,ALL,TRUE
Z11,DENMARK,DK,24,Return DropOff,A6,FlexDelivery,ALL,LU,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,A6,Delivery without POD,CH,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A4,Email notification,JE,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,E7,Pickup Handover,SE,NO,FALSE
Z11,DENMARK,DK,20,Return Pickup,A5,Insurance Europe,FI,NO,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A4,Email notification,BG,ALL,TRUE
Z12,SWEDEN,SE,17,PostNord MyPack Home,D2,Kvittenskrav,ALL,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A5,Insurance Europe,HR,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,E1,Tyres,HR,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,E1,Tyres,AT,ALL,FALSE
Z14,FINLAND,FI,49,InNight Reverse,B9,Dangerous Goods,DK,ALL,FALSE
Z12,SWEDEN,SE,RL,Rek Extra,KM,"Kvittensbild, via mail",ALL,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A3,SMS notification,NL,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,62,Insurance DK,DK,ALL,FALSE
Z13,NORWAY,NO,83,Groupage,C4,ID check,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A3,SMS notification,FI,ALL,TRUE
Z12,SWEDEN,SE,17,PostNord MyPack Home,B7,Leverans till anvisad plats,SE,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,MC,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A5,Insurance Europe,SE,FI,FALSE
Z11,DENMARK,DK,20,Return Pickup,E7,Pickup Handover,FI,DK,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,B8,Driver Notification - Phone,UA,ALL,FALSE
Z12,SWEDEN,SE,83,PostNord Groupage,A2,eBrevsavisering,ALL,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A4,Standard Self-Service and E-mail Info,NO,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A4,Email notification,SK,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,89,EDI - mangelfuld adresse,FI,NO,FALSE
Z11,DENMARK,DK,24,Return DropOff,A6,FlexDelivery,ALL,IE,FALSE
Z11,DENMARK,DK,17,Mypack Home,A8,Limited Quantity of Dangerous Goods,DK,ALL,FALSE
Z12,SWEDEN,SE,83,PostNord Groupage,E7,Pickup Handover,SE,ALL,FALSE
Z12,SWEDEN,SE,LX,Expressbrev,FS,"Faktura, med inlämningsundrlag",ALL,ALL,FALSE
Z13,NORWAY,NO,83,Groupage,D2,Signatur bekreftelse,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,10,Ad-hoc pickup,SI,ALL,FALSE
Z12,SWEDEN,SE,RR,Rek,KB,Mottagarkvittens,ALL,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C7,FlexChange,AX,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A4,Email notification,SE,DK,TRUE
Z11,DENMARK,DK,19,Mypack Collect,A8,Limited Quantity of Dangerous Goods,DK,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A3,SMS notification,FI,NO,TRUE
Z11,DENMARK,DK,18,PostNord Parcel,A3,SMS notification,HR,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,E1,Tyres,LV,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A4,Standard Self-Service and E-mail Info,LV,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A3,SMS notification,LI,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,87,Returuppdrag,!SE,ALL,FALSE
Z11,DENMARK,DK,24,Return DropOff,A5,Insurance Europe,ALL,LV,FALSE
Z12,SWEDEN,SE,83,PostNord Groupage,C4,Legitimationskontroll,DK,ALL,FALSE
Z11,DENMARK,DK,4,Tracked Letters,A4,Email notification,ALL,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,24,Utökad identifiering,SE,ALL,FALSE
Z12,SWEDEN,SE,19,PostNord MyPack Collect,A5,Varuförsäkring,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A9,Driver notification,FI,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,89,Split shipment,ALL,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,E1,Tyres,DE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A3,SMS notification,IR,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,B8,Driver Notification - Phone,GR,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A6,FlexDelivery,NO,DK,FALSE
Z12,SWEDEN,SE,59,Retail Delivery,21,Ej till ombud,SE,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A3,SMS notification,NO,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,10,Ad-hoc pickup,UA,ALL,TRUE
Z12,SWEDEN,SE,19,PostNord MyPack Collect,D4,Digitallock,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A3,SMS notification,HR,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,10,Ad-hoc pickup,DE,ALL,FALSE
Z12,SWEDEN,SE,49,InNight Reverse,A8,Begränsad mängd farligt gods,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,E1,Tyres,DK,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,B8,Driver notification,FI,ALL,FALSE
Z12,SWEDEN,SE,83,PostNord Groupage,80,Samordnad Varudistribution,ALL,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,ME,ALL,FALSE
Z12,SWEDEN,SE,RR,Rek,KM,"Kvittensbild, via mail",ALL,ALL,FALSE
Z12,SWEDEN,SE,83,PostNord Groupage,E6,Pickup Confirmation,NO,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,Q1,Time agreed delivery,SE,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,A8,Dangerous Goods LQ,AT,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,D5,Private Receiver,SI,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A5,Insurance Europe,NO,FI,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E9,Collection Request,IE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,10,Ad-hoc pickup,SE,ALL,TRUE
Z14,FINLAND,FI,19,MyPack Collect,M7,Not to outdoor parcel locker,FI,FI,FALSE
Z11,DENMARK,DK,83,Groupage,B7,Carry-in,FI,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A4,Email notification,FI,DK,TRUE
Z14,FINLAND,FI,17,MyPack Home,E1,Tyres,SE,ALL,FALSE
Z12,SWEDEN,SE,42,Expresspaket,A3,SMS-avisering,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,10,Ad-hoc pickup,FO,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A7,Optional Service Point,NL,ALL,TRUE
Z12,SWEDEN,SE,20,Return Pickup,A5,Varuförsäkring,SE,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C6,Delivery Confirmation,EE,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C6,Delivery Confirmation,BE,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A4,Email notification,HU,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,PL,ALL,FALSE
Z11,DENMARK,DK,83,Groupage,A8,Limited Quantity of Dangerous Goods,ALL,DK,FALSE
Z14,FINLAND,FI,83,PostNord Groupage,D5,Private Receiver,NO,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,LI,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A8,Limited Quantity of Dangerous Goods,FI,DK,FALSE
Z13,NORWAY,NO,52,Pallet,C6,Leverings bekreftelse,ALL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E9,Collection Request,HR,ALL,FALSE
Z11,DENMARK,DK,19,Mypack Collect,A4,Email notification,SI,ALL,TRUE
Z12,SWEDEN,SE,51,Företagspaket Comeback,2,Behållarhyra,ALL,ALL,FALSE
Z12,SWEDEN,SE,83,PostNord Groupage,E2,Carry out,SE,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,90,Varuförsäkring,ALL,ALL,FALSE
Z11,DENMARK,DK,24,Return DropOff,A5,Insurance Europe,ALL,NL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,62,Insurance DK,ALL,DK,FALSE
Z11,DENMARK,DK,83,Groupage,10,Ad-hoc pickup,ALL,ALL,TRUE
Z12,SWEDEN,SE,52,PostNord Pallet,A9,Notification by phone,ALL,ALL,FALSE
Z14,FINLAND,FI,18,PostNord Parcel,E9,Collection Request,PT,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A8,Limited Quantity of Dangerous Goods,FI,FI,FALSE
Z12,SWEDEN,SE,20,Return Pickup,D3,Föravisering,FI,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,10,Ad-hoc pickup,AX,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C6,Delivery Confirmation,FR,ALL,FALSE
Z12,SWEDEN,SE,18,PostNord Parcel,D3,Föravisering,!FO,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,34,Upphämtning,DK,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,B8,Driver Notification - Phone,HU,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A9,Driver notification,DK,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A4,Email notification,IM,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,E7,Pickup Handover,SE,ALL,FALSE
Z12,SWEDEN,SE,20,Return Pickup,E1,Däck,ALL,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A4,Email notification,DK,DK,TRUE
Z14,FINLAND,FI,18,PostNord Parcel,E1,Tyres,BG,ALL,FALSE
Z11,DENMARK,DK,4,Tracked Letters,A3,SMS notification,ALL,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,A5,Insurance,FI,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,A5,Insurance Europe,IT,ALL,FALSE
Z14,FINLAND,FI,19,MyPack Collect,A7,Optional service point,AX,ALL,TRUE
Z14,FINLAND,FI,52,PostNord Pallett,A6,Delivery without POD,DK,ALL,FALSE
Z12,SWEDEN,SE,17,PostNord MyPack Home,D3,Föravisering,ALL,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,10,Ad-hoc pickup,GR,ALL,FALSE
Z11,DENMARK,DK,17,Mypack Home,10,Ad-hoc pickup,LV,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A3,SMS notification,NO,DK,TRUE
Z14,FINLAND,FI,18,PostNord Parcel,E9,Collection Request,BE,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,A4,Email notification,GB,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,89,EDI - mangelfuld adresse,DK,ALL,FALSE
Z14,FINLAND,FI,17,MyPack Home,C6,Delivery Confirmation,LU,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,HU,ALL,FALSE
Z12,SWEDEN,SE,52,PostNord Pallet,D6,Before 9,NO,ALL,FALSE
Z13,NORWAY,NO,52,Pallet,A9,Notification by telephone,ALL,ALL,FALSE
Z11,DENMARK,DK,18,PostNord Parcel,A5,Insurance Europe,GG,ALL,FALSE
Z11,DENMARK,DK,52,Pallet Pickup,10,Ad-hoc pickup,SK,ALL,TRUE
Z14,FINLAND,FI,17,MyPack Home,C5,Delivery Notification,LU,ALL,FALSE
Z14,FINLAND,FI,52,PostNord Pallett,D5,Private Receiver,LV,ALL,FALSE
Z11,DENMARK,DK,20,Return Pickup,A4,Email notification,NO,NO,TRUE
Z12,SWEDEN,SE,RR,Rek,FE,"Faktura, utan inlämningsundrlag",ALL,ALL,FALSE
Z12,SWEDEN,SE,30,MyPack Home Small,D4,Digitallock,ALL,ALL,FALSE
Z12,SWEDEN,SE,20,Return Pickup,E7,Pickup Handover,SE,ALL,FALSE
